e,0,1,2,3,4,6,7,9,10,11,12,13
0,s,5
1,s
2,10,12,11,7
3,s
4,s
5,s
6,s
7,8,5,s
8,5,s
9,10,12,11,7
10,5,s
11,8,5,s
12,8,5,s
13,s
s,-1
